court_forms_id,court_forms_num,court_forms_title,court_forms_type,court_forms_comments,court_forms_category,court_forms_downloadable,court_forms_internal_flag,court_forms_url,court_forms_keywords,court_forms_format,court_forms_lastupdate,language_id,court_work_type_id
63,C15,Atodiad i gais am gyswllt gyda phlentyn sydd mewn gofal / Supplement for an application for contact with a child in care.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c015-bil.pdf,NULL,(PDF 104KB) ,September 1999,17,NULL
64,C16,Supplement for an application for a Child Assessment Order. ,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c016-eng.pdf,NULL,(PDF 13KB),September 1999,5,NULL
65,C16,Atodiad i gais am Orchymyn Asesu Plentyn. / Supplement for an application for a Child Assessment Order.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c016-bil.pdf,NULL,(PDF 114KB) ,September 1999,17,NULL
66,C17,Supplement for an application for an Education Supervision Order.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c017-eng.pdf,NULL,(PDF 147KB) ,July 2010,5,NULL
68,C17A,Supplement for an application for an extension of an Education Supervision Order.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c017(a)-eng.pdf ,NULL,(PDF 11KB),September 1999,5,NULL
69,C17A,Atodiad i gais am estyniad i Orchymyn Goruchwylio Addysg. / Supplement for an application for an extention of an Education Supervision Order.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c017(a)-bil.pdf ,NULL,(PDF 109KB) ,September 1999,17,NULL
70,C18,Atodiad i gais am Orchymyn Adfer. / Supplement for an application for a Recovery Order.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c018-bil.pdf,NULL,(PDF 142KB) ,September 1999,17,NULL
71,C18,Supplement for an application for a Recovery Order. ,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c018-eng.pdf,NULL,(PDF 19KB),September 1999,5,NULL
72,C19,Application for a warrant of assistance.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c019-eng.pdf,,(PDF 356KB) ,November 2014,5,0
74,C1A,Allegations of harm and domestic violence (Supplemental information form) ,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c001a-eng.pdf ,NULL,(PDF 358KB) ,January 2016 ,5,NULL
75,C1A,Honiadau o niwed a thrais yn y cartref (Ffurflen gwybodaeth ategol). / Allegations of harm and domestic violence (Supplemental information form).,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c001a-bil.pdf ,NULL,(PDF 212KB) ,April 2011 ,17,NULL
78,C2 ,"Application - For permission to start proceedings; For an order or directions in existing proceedings; To be joined as, or cease to be, a party in existing family proceedings under the Children Act 1989",Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c002-eng.pdf,,(PDF 585KB) ,January 2016 ,5,0
79,C2 ,"Cais / Am ganiatad i gychwyn achos / Am orchymyn neu gyfarwyddiadau mewn achos sydd eisoes ar waith / I ymuno fel parti, neu i roi'r gorau i fod yn barti, mewn achos teulu sydd eisoes ar waith o dan Ddeddf Plant 1989. / Application / For permission to start proceedings / For an order or directions in existing proceedings / To be joined as, or cease to be, a party in existing family proceedings under the Children Act 1989",Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c002-bil.pdf,NULL,(PDF 221KB) ,April 2011 ,17,NULL
80,C20,Supplement for an application for an order to hold a child in Secure Accommodation. ,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c020-eng.pdf,NULL,(PDF 15KB),September 1999,5,NULL
81,C20,Atodiad i gais am orchymyn i ddal plentyn mewn Llety Diogel. / Supplement for an application for an order to hold a child in Secure Accommodation.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c020-bil.pdf,NULL,(PDF 118KB) ,September 1999,17,NULL
82,C3 ,Application for an order authorising search for taking charge of and delivery of a child.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c003-eng.pdf,NULL,(PDF 13KB),September 1999,5,NULL
83,C3 ,"Cais am orchymyn i awdurdodi chwilio am blentyn, cymryd cyfrifoldeb drosto/drosti a throsglwyddo'r plentyn i fan penodol. / Application for an order authorising search for, taking charge of, and delivery of, a child.",Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c003-bil.pdf,NULL,(PDF 126KB) ,September 1999,17,NULL
84,C4 ,Application for an order for disclosure of a child's whereabouts.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c004-eng.pdf,NULL,(PDF 13KB),September 1999,5,NULL
85,C4 ,Cais am orchymyn i ddatgelu ble mae plentyn. / Application for an order for disclosure of a child's whereabouts.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c004-bil.pdf,NULL,(PDF 116KB) ,September 1999,17,NULL
86,C60,Tystysgrif y cyfeirir ati yn Erthygl 33 Rheoliad y Cyngor (CE) Rhif 1347/2000 29 Mai 2000 sy'n ymwneud â dyfarniadau ynghylch cyfrifoldeb rhieni. / Certificate referred to in Article 33 of Council Regulation (EC) No. 1347/2000 of 29 May 2000 concerning judgments on parental responsibility.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c060-bil.pdf,NULL,(PDF 138KB) ,September 2001,17,NULL
87,C60,Concerning Judgements on parental responsibility. ,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c060-eng.pdf,NULL,(PDF 272KB) ,March 2005 ,5,NULL
88,C7 ,Acknowledgement.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c007-eng.pdf,NULL,(PDF 197KB) ,November 2013,5,NULL
89,C9 ,Statement of Service.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c009-eng.pdf,NULL,(PDF 43KB),October 2004 ,5,NULL
90,C9 ,Datganiad Cyflwyno. / Statement of Service.,Adobe Acrobat (pdf),Internet downloadable form,Children Act ,1,0,c009-bil.pdf,NULL,(PDF 120KB) ,December 2004,17,NULL
98,D11,Application Notice ,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d011-eng.pdf,NULL,(PDF 197KB) ,November 2014,5,NULL
99,D11,Rhybudd o gais./ Application notice.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d011-bil.pdf,NULL,(PDF 259KB) ,April 2011 ,17,NULL
100,D13B,Affidafid i gefnogi cais i hepgor cyflwyno'r ddeiseb ysgaru / diddymu / dirymu / ymwahaniad (cyfreithiol) i'r Atebydd. / Affidavit in support of a request to dispense with service of the divorce / dissolution / nullity / (judicial) separation petition on the Respondent.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d013b-bil.pdf ,NULL,(PDF 277KB) ,April 2012 ,17,NULL
103,D180,Tystysgrif y cyfeirir ati yn Erthygl 33 Rheoliad y Cyngor (CE) Rhif 1347/2000 29 Mai 2000 sy'n ymwneud â dyfarniadau mewn materion priodasol. / Certificate referred to in Article 33 of Council Regulation (EC) NO. 1347/2000 of 29 May 2000 concerning judgments in matrimonial matters.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d180-bil.pdf,NULL,(PDF 163KB) ,September 2001,17,NULL
104,D180,Concerning judgments in matrimonial matters. ,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d180-eng.pdf,NULL,(PDF 246KB) ,March 2005 ,5,NULL
122,D252,Notice of commencement of assessment of bill of costs,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d252-eng.pdf,NULL,(PDF 32KB),April 2011 ,5,NULL
123,D252,Hysbysiad cychwyn asesu bil costau. / Notice of commencement of assessment of bill of costs.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d252-bil.pdf,NULL,(PDF 67KB),April 2011 ,17,NULL
124,D254,Request for a Default Costs Certificate,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d254-eng.pdf,NULL,(PDF 26KB),April 2014 ,5,NULL
125,D254,Cais am Dystysgrif Costau Diffygdalu. / Request for a Default Costs Certificate.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d254-bil.pdf,NULL,(PDF 57KB),April 2011 ,17,NULL
126,D258,Request for detailed assessment hearing (general form),Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d258-eng.pdf,NULL,(PDF 240KB) ,April 2011 ,5,NULL
127,D258,Cais am wrandawiad asesiad manwl (ffurflen gyffredinol). / Request for detailed assessment hearing (general form).,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d258-bil.pdf,NULL,(PDF 82KB),April 2011 ,17,NULL
128,D258A ,Request for detailed assessment (Legal aid/Legal Services Commission only),Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d258a-eng.pdf ,NULL,(PDF 246KB) ,November 2014,5,NULL
129,D258A ,Cais am asesiad manwl (Y Comisiwn Gwasanaethau Cyfreithiol/Cymorth Cyfreithiol yn unig). / Request for detailed assessment (Legal aid/Legal Services Commission only).,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d258a-bil.pdf ,NULL,(PDF 78KB),April 2011 ,17,NULL
130,D259,Notice of Appeal against a detailed assessment,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d259-eng.pdf,,(PDF 44KB),November 2014,5,0
131,D259,Hysbysiad o Apel yn erbyn asesiad manwl. / Notice of Appeal against a detailed assessment.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d259-bil.pdf,NULL,(PDF 75KB),April 2011 ,17,NULL
133,D36,Hysbysiad o gais i wneud dyfarniad nisi yn absoliwt neu i wneud gorchymyn amodol yn derfynol. / Notice of application for decree nisi to be made absolute or conditional order to be made final.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d036-bil.pdf,NULL,(PDF 99KB),November 2014,17,NULL
134,D63,Judgment summons,Adobe Acrobat (pdf),Internet downloadable form,Family,1,0,d063-eng.pdf,NULL,(PDF 117KB) ,April 2011 ,5,NULL
135,D63,Gwys Dyfarniad Rheolau Achosion Teulu 7.4(5). / Judgement Summons Family Proceedings Rules 7.4(5).,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d063-bil.pdf,NULL,(PDF 205KB) ,January 2003 ,17,NULL
138,D8 ,Deiseb ysgaru/diddymu/ymwahanu (cyfreithiol). / Divorce/dissolution/(judicial) separation petition.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d008-bil.pdf,NULL,(PDF 166KB) ,April 2014 ,17,NULL
142,D80A,Statement in Support of Divorce / (Judicial) Separation - Adultery,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d080a-eng.pdf ,,(PDF 583KB) ,April 2014 ,5,0
143,D80A,Datganiad i gefnogi ysgariad/ymwahaniad (cyfreithiol) - godineb. / Statement in support of divorce/(judicial) separation - adultery.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d080a-bil.pdf ,,(PDF 486KB) ,April 2014 ,17,0
144,D80B,Statement in Support of Divorce / Dissolution / (Judicial) Separation - Unreasonable Behaviour,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d080b-eng.pdf ,,(PDF 590KB) ,April 2014 ,5,0
145,D8B,Ateb i ddeiseb ysgaru/diddymu/ymwahanu (cyfreithiol) neu ddirymu. / Answer to a divorce/dissolution/(judicial) separation or nullity petition.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d008b-bil.pdf ,,(PDF 230KB) ,April 2012 ,17,0
146,D80C,Statement in Support of Divorce / Dissolution / (Judicial) Separation - Desertion,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d080c-eng.pdf ,,(PDF 372KB) ,April 2014 ,5,0
147,D80C,Datganiad i gefnogi ysgariad/diddymiad/ymwahaniad (cyfreithiol) - gadael. / Statement in support of divorce/dissolution/(judicial) separation - desertion,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d080c-bil.pdf ,,(PDF 121KB) ,April 2014 ,17,0
148,D8D,Deiseb am orchymyn/ddyfarniad rhagdybio marwolaeth a diddymu priodas/partneriaeth sifil. / Petition for a presumption of death decree/order and the dissolution of a marriage/civil partnership.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d008d-bil.pdf ,,(PDF 167KB) ,January 2014 ,17,0
149,D80D,Statement in Support of Divorce / Dissolution / (Judicial) Separation - 2 Years' Consent,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d080d-eng.pdf ,,(PDF 599KB) ,January 2014 ,5,0
150,D80E,Statement in Support of Divorce / Dissolution / (Judicial) Separation - 5 Years' Consent,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d080e-eng.pdf ,,(PDF 579KB) ,April 2014 ,5,0
151,D80E,Datganiad i gefnogi ysgariad/diddymiad/ymwahaniad (cyfreithiol) - ymwahaniad 5 mlynedd. / Statement in support of divorce/dissolution/(judicial) separation - 5 years' separation,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d080e-bil.pdf ,,(PDF 115KB) ,April 2014 ,17,0
153,D81,Datganiad gwybodaeth am orchymyn cydsynio yng nghyswllt rhwymedi ariannol. / Statement of information for a consent order in relation to a financial remedy.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d081-bil.pdf,NULL,(PDF 287KB) ,April 2012 ,17,NULL
154,D84,Application for a decree nisi conditional order or (judicial) separation decreeorder,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d084-eng.pdf,NULL,(PDF 92KB),April 2014 ,5,NULL
155,D84,Cais am ddyfarniad nisi/gorchymyn amodol neu orchymyn/dyfarniad ymwahanu (cyfreithiol). / Application for a decree nisi/conditional order or (judicial) separation decree/order.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d084-bil.pdf,NULL,(PDF 155KB) ,April 2012 ,17,NULL
156,D89,Request for personal service by a court bailiff,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d089-eng.pdf,NULL,(PDF 303KB) ,November 2014,5,NULL
157,D89,Cais am gyflwyno personol gan feili llys. / Request for personal service by a court bailiff.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d089-bil.pdf,NULL,(PDF 176KB) ,April 2011 ,17,NULL
159,D8A,Datganiad trefniadau ar gyfer plant. / Statement of arrangements for children.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,d008a-bil.pdf ,NULL,(PDF 292KB) ,April 2011 ,17,NULL
160,D151,Application for registration of a maintenance order in the family court,Adobe Acrobat (pdf),Internet downloadable form,Family,1,0,d151-eng.pdf,NULL,(PDF 142KB) ,November 2015,5,NULL
161,EX107 ,Tape Transcription Request,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,ex107-eng.pdf ,,(PDF 351KB) ,April 2014 ,5,174
162,EX107 ,Cais am Drawsgrifio Tâp. / Tape Transcription Request.,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,ex107-bil.pdf ,NULL,(PDF 274KB) ,January 2007 ,17,NULL
164,EX140 ,Cofnod archwiliad (Unigolyn) . / Record of examination (Individual) .,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,ex140-bil.pdf ,NULL,(PDF 1103KB),April 2003 ,17,NULL
165,EX140 ,Record of evidence(Individual debtor),Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,ex140-eng.pdf ,NULL,(PDF 370KB) ,April 2003 ,5,NULL
166,EX141 ,Cofnod archwiliad (swyddog mewn cwmni neu gorfforaeth). / Record of examination (officer of company or corporation).,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,ex141-bil.pdf ,NULL,(PDF 652KB) ,April 2003 ,17,NULL
167,EX141 ,Record of evidence(Officer of a company),Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,ex141-eng.pdf ,NULL,(PDF 262KB) ,April 2003 ,5,NULL
256,EX343A,Complaint form,Adobe Acrobat (pdf),Internet downloadable form,General ,1,0,ex343a-eng.pdf,,(PDF 115KB) ,October 2015 ,5,0
266,EX501 ,Mae'r hysbysiad hwn yn egluro ein gwasanaeth cymraeg. / This notice explains our Welsh language service.,Adobe Acrobat (pdf),Internet downloadable form,General ,1,0,ex501-bil.pdf ,,(PDF 110KB) ,April 2012 ,17,0
269,EX550 ,Affidavit of service ,Adobe Acrobat (pdf),Internet downloadable form,General ,1,0,ex550-eng.pdf ,NULL,(PDF 33KB),April 2005 ,5,NULL
270,EX550 ,Affidafid (gorchymyn i ddod i'r llys ar gyfer holi a gorchymyn traddodi gohiriedig). / Affidavit (order to attend for questioning and suspended committal order).,Adobe Acrobat (pdf),Internet downloadable form,General ,1,0,ex550-bil.pdf ,NULL,(PDF 185KB) ,March 2002 ,17,NULL
271,EX670 ,Disclosure orders against the Inland Revenue ,Microsoft Word (doc) ,Internet downloadable form,General ,1,0,ex670-eng.doc ,NULL,(Word 47KB) ,November 2003,5,NULL
274,EX80A ,Legal Aid / Legal Aid Agency Assessment Certificate,Adobe Acrobat (pdf),Internet downloadable form,Court Costs - Other,1,0,ex080a-eng.pdf,NULL,(PDF 84KB),April 2013 ,5,NULL
275,EX80A ,Tystysgrif asesu Cymorth Cyfreithiol/Comisiwn Gwasanaethau Cyfreithiol. / Legal aid/Legal Services Commission assessment certificate.,Adobe Acrobat (pdf),Internet downloadable form,Court Costs - Other,1,0,ex080a-bil.pdf,NULL,(PDF 163KB) ,January 2005 ,17,NULL
285,Ffurflen P2 / Form P2,Atodiad Atafaelu Pensiwn dan Adran 25B neu 25C Deddf Achosion Priodasol 1973. / Pension Attachment Annex under Section 25B or 25C of the Matrimonial Causes Act 1973.,Adobe Acrobat (pdf),Internet downloadable form,Divorce / Civil Partnership Dissolution,1,0,p02-bil.pdf,NULL,(PDF 104KB) ,February 2003,17,NULL
289,FL403 ,Application to vary extend or discharge an order in existing proceedings ,Adobe Acrobat (pdf),Internet downloadable form,Family,1,0,fl403-eng.pdf ,NULL,(PDF 144KB) ,November 2014,5,NULL
290,FL403 ,"Cais i amrywio, ymestyn neu ddiddymu gorchymyn mewn achos cyfredol. / Application to vary, extend or discharge an order in existing proceedings.",Adobe Acrobat (pdf),Internet downloadable form,Family,1,0,fl403-bil.pdf ,NULL,(PDF 183KB) ,November 2014,17,NULL
291,FL407 ,Cais am Warant Arestio. / Application for a warrant of arrest.,Adobe Acrobat (pdf),Internet downloadable form,Family,1,0,fl407-bil.pdf ,NULL,(PDF 112KB) ,October 1997 ,17,NULL
292,FL410 ,Ymrwymiad atebydd. / Recognizance of respondent.,Adobe Acrobat (pdf),Internet downloadable form,Family,1,0,fl410-bil.pdf ,NULL,(PDF 134KB) ,October 1997 ,17,NULL
293,FL411 ,Ymrwymiad ernes atebydd. / Recognizance of respondent's surety.,Adobe Acrobat (pdf),Internet downloadable form,Family,1,0,fl411-bil.pdf ,NULL,(PDF 161KB) ,October 1997 ,17,NULL
294,FL415 ,Statement of Service ,Adobe Acrobat (pdf),Internet downloadable form,Family,1,0,fl415-eng.pdf ,NULL,(PDF 397KB) ,October 1997 ,5,NULL
295,FL415 ,Datganiad Cyflwyno. / Statement of Service.,Adobe Acrobat (pdf),Internet downloadable form,Family,1,0,fl415-bil.pdf ,NULL,(PDF 122KB) ,October 1997 ,17,NULL
297,Form 110,Certificate for enforcement in a foreign country under [s.10 of the Administration of Justice Act 1920] [s.10 of the Foreign Judgments (Reciprocal Enforcement) Act 1933] [s.12 of the Civil Jurisdiction and Judgments Act 1982] (CPR 74.12 and PD 74A para.7),Microsoft Word (doc) ,Internet downloadable form,County Court ,1,0,form110-eng.doc ,NULL,(Word 34KB) ,April 2016 ,5,NULL
298,Form 111,Certificate of the enforcement in Scotland or Northern Ireland of a money judgment of the High Court or of the County Court (s.18 of and Schedule 6 to the Civil Jurisdiction and Judgments Act 1982) (CPR 74.17 and PD 74A para.8.2),Microsoft Word (doc) ,Internet downloadable form,County Court ,1,0,form111-eng.doc ,NULL,(Word 32KB) ,April 2016 ,5,NULL
299,Form 112,Certificate annexed to a sealed copy of judgment of the High Court or of the County Court for enforcement of non-money provisions in Scotland or Northern Ireland (s.18 of and Schedule 7 to the Civil Jurisdiction and Judgments Act 1982) (CPR 74.18 and PD 74A para.8.3) ,Microsoft Word (doc) ,Internet downloadable form,County Court ,1,0,form112-eng.doc ,NULL,(Word 32KB) ,April 2016 ,5,NULL
335,Jury Summons Form,Jury Summons Form,Adobe Acrobat (pdf),Internet downloadable form,Jury Service ,1,0,jury-summons-eng.pdf,,(PDF 93KB),July 2014,5,0
337,N1 ,Ffurflen Hawlio. / Claim Form.,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n001-bil.pdf,NULL,(PDF 93KB),May 2014,17,NULL
338,N1 ,Claim Form (CPR Part 7),Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n001-eng.pdf,,(PDF 79KB),May 2014,5,0
340,N1(CC),Claim Form ,Adobe Acrobat (pdf),Internet downloadable form,Commercial Court,1,0,n001(cc)-eng.pdf,NULL,(PDF 39KB),April 2014 ,5,NULL
341,N1(FD),Nodiadau I'r diffynnydd ar ymateb I'r ffurflen hawlio(hawliad Deddf Credyd Defnyddwyr) / Notes for defendant on replying to the claim form (Consumer Credit Act claim),Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n001(fd)-bil.pdf,NULL,(PDF 50KB),June 2014,17,NULL
342,N11,Ffuflen amddiffyniad. / Defence form.,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n011-bil.pdf,NULL,(PDF 149KB) ,April 2006 ,17,NULL
343,N11,Defence form ,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n011-eng.pdf,NULL,(PDF 349KB) ,December 2007,5,NULL
345,N117,General form of undertaking,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n117-eng.pdf,NULL,(PDF 38KB),October 2012 ,5,NULL
346,N117,Ffurflen Gyffredinol Ymgymeriad / General form of undertaking.,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n117-bil.pdf,NULL,(PDF 54KB),October 2012 ,17,NULL
347,N119,Particulars of claim for possession.,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n119-eng.pdf,,(PDF 251KB) ,April 2010 ,5,0
350,N119,Manylion hawliad i feddiannu (adeilad preswyl ar rent). / Particulars of claim for possession (rented residential premises).,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n119-bil.pdf,NULL,(PDF 333KB) ,August 2005,17,NULL
355,N11B,Defence form (accelerated possession procedure) (assured shorthold tenancy),Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n011b-eng.pdf ,,(PDF 311KB) ,August 2011,5,0
358,N11B,Ffurflen Amddiffyn (trefn meddiannu gyflymedig) (tenantiaeth fyrddaliadol sicr). / Defence form (accelerated possession procedure) (assured shorthold tenancy).,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n011b-bil.pdf ,NULL,(PDF 110KB) ,August 2011,17,NULL
359,N11D,Defence form (demotion of tenancy) (suspension of right to buy). ,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n011d-eng.pdf ,NULL,(PDF 130KB) ,August 2005,5,NULL
361,N11D,Ffurflen amddiffyn (israddio tenantiaeth). / Defence form (demotion of tenancy).,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n011d-bil.pdf ,NULL,(PDF 725Kb) ,August 2005,17,NULL
362,N11M,Ffurflen Amddiffyniad (eiddo preswyl dan forgais). / Defence form (mortgaged residential premises).,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n011m-bil.pdf ,NULL,(PDF 443KB) ,April 2006 ,17,NULL
363,N11M,Defence form(mortgaged residential premises) ,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n011m-eng.pdf ,NULL,(PDF 510KB) ,April 2006 ,5,NULL
366,N11R,Ffurflen Amddiffyniad (adeilad preswyl ar rent). / Defence form (rented residential premises).,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n011r-bil.pdf ,NULL,(PDF 453KB) ,April 2006 ,17,NULL
367,N11R,Defence form ,Adobe Acrobat (pdf),Internet downloadable form,County Court ,1,0,n011r-eng.pdf ,NULL,(PDF 479KB) ,April 2006 ,5,0
