court_leaflets_id,court_leaflets_num,court_leaflets_title,court_leaflets_type,court_leaflets_comment,court_leaflets_category,court_leaflets_download,court_leaflets_internal_flag,court_leaflets_url,court_leaflets_keywords,court_leaflets_format,court_leaflets_lastupdate,language_id,court_work_type_id
183,EX302,How Do I Make a Court Claim? - For People Who Want to Take a Dispute to Court,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex302-eng.pdf,,(PDF 172KB),April 2014 ,5,0
185,EX302,Sut mae gwneud hawliad. / How to make a claim. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex302-bil.pdf,NULL,(PDF 249KB),April 2006 ,17,NULL
187,EX303,A Court Claim Has Been Made Against Me - What Should I Do? for People Whose Dispute Has Been Taken to Court,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex303-eng.pdf,,(PDF 217KB),June 2014,5,0
189,EX303,Mae hawliad wedi'i wneud yn fy erbyn - beth ddylwn i ei wneud? / A claim has been made against me - what should I do?,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex303-bil.pdf,NULL,(PDF 262KB),April 2006 ,17,NULL
191,EX304,I've Started a Claim in Court - What Happens Next?,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex304-eng.pdf,,(PDF 208KB),June 2014,5,0
193,EX304,Dim ateb i fy ffurflen hawliad - Beth ddylwn i wneud? / No reply to my claim form - What should I do?,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex304-bil.pdf,NULL,(PDF 235KB),April 2006 ,17,NULL
196,EX305,The Fast Track and the Multi-Track in the Civil Courts,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex305-eng.pdf,NULL,(PDF 182KB),April 2014 ,5,NULL
199,EX306,The Small Claims Track in Civil Courts,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex306-eng.pdf,,(PDF 219KB),April 2014 ,5,0
215,EX320,Registered Judgments - What Does it Mean?,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex320-eng.pdf,,(PDF 154KB),June 2014,5,0
217,EX320,Dyfarniad cofrestredig - Beth mae hynny'n ei olygu? / Registered judgments - What does it mean?,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex320-bil.pdf,NULL,(PDF 227KB),April 2006 ,17,NULL
219,EX321,I have a judgment but the defendant hasn't paid - What do I do?,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex321-eng.pdf,NULL,(PDF 177KB),April 2016 ,5,NULL
224,EX322,How do I ask for a warrant of control?,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex322-eng.pdf,,(PDF 218KB),April 2016 ,5,0
227,EX323,How do I ask for an attachment of earnings order? ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex323-eng.pdf,NULL,(PDF 225KB),April 2016 ,5,NULL
231,EX324,How Do I Apply for an Order? - Order to Obtain Information From a Person Who Owes You Money ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex324-eng.pdf,NULL,(PDF 160KB),April 2014 ,5,NULL
234,EX325,Third party debt orders and charging orders. How do I apply for an order? How do I respond to an order? ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex325-eng.pdf,NULL,(PDF 200KB),April 2016 ,5,NULL
237,EX326,I Cannot Pay My Judgment - What Do I Do? ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex326-eng.pdf,NULL,(PDF 185KB),April 2014 ,5,NULL
241,EX327,I've got a maintenance order but it's not being paid ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Divorce / Civil Partnership Dissolution,1,0,ex327-eng-20160107.pdf,NULL,(PDF 171KB),January 2016,5,NULL
245,EX332,Squatters - A Quicker Procedure ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Housing ,1,0,ex332-eng.pdf,NULL,(PDF 172KB),July 2014,5,NULL
247,EX333,Squatters - Illegal Occupation of Premises. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Housing ,1,0,ex333-eng.pdf,NULL,(PDF 188KB),April 2005 ,5,NULL
249,EX340,I Want to Appeal - What Should I Do? - For People Who Want to Appeal Against a Court Decision,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex340-eng.pdf,,(PDF 184KB),April 2014 ,5,0
251,EX341,I Have Been Asked to Be a Witness - What Do I Do? ,Adobe Acrobat (pdf) ,Internet downloadable guidance,General ,1,0,ex341-eng.pdf,NULL,(PDF 158KB),April 2014 ,5,NULL
253,EX342,Coming to a Court Hearing?Some Things You Should Know.Court Hearings in the High Court and County Courts. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,General ,1,0,ex342-eng.pdf,NULL,(PDF 173KB),July 2014,5,NULL
254,EX343,Unhappy With Our Service - What Can You Do? ,Adobe Acrobat (pdf) ,Internet downloadable guidance,General ,1,0,ex343-eng.pdf,,(PDF 154KB),October 2015,5,0
261,EX345,"About Bailiffs, Enforcement Officers and Enforcement Agents",Adobe Acrobat (pdf) ,Internet downloadable guidance,General ,1,0,ex345-eng.pdf,,(PDF 182KB),April 2014 ,5,0
262,EX350,A Guide to Debt Recovery Through the County Courts for Small Businesses.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex350-eng.pdf,NULL,(PDF 191KB),May 2014,5,NULL
263,EX350,Canllawiau i fusnesau bach ar gyfer adennill dyled drwy'r llys sirol. / A guide to debt recovery through a county court for small businesses.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Commercial Court ,1,0,ex350-bil.pdf,NULL,(PDF 176KB),April 2006 ,17,NULL
264,EX50 ,Civil and Family Court fees - High Court and County Court (from 21 March 2016),Adobe Acrobat (pdf) ,Internet downloadable guidance,Fees and Help with Fees,1,0,ex050-eng-2016.03.21.pdf ,,(PDF 220KB),March 2016 ,5,0
267,EX503,Human Rights Act ,Adobe Acrobat (pdf) ,Internet downloadable guidance,General ,1,0,ex503-eng.pdf,NULL,(PDF 163KB),August 2014,5,NULL
273,EX670 notes,Disclosure Orders Against the Inland Revenue Guidance from the Presidents Office.,Adobe Acrobat (pdf) ,Internet downloadable guidance,General ,1,0,ex670-notes-eng.pdf,NULL,(PDF 20KB) ,December 2003 ,5,NULL
286,Fixing Sheet,Fixing Sheet,Microsoft Word (doc),Internet downloadable guidance,Commercial Court ,1,0,fixing-sheet-eng.doc,NULL,(Word 44KB),September 2012,5,NULL
296,FL700,Domestic violence injunctions under the Family Law Act - How can it help me? ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Family,1,0,fl700-eng-2016.03.23.pdf ,NULL,(PDF 248KB),April 2016 ,5,NULL
328,Getting the best out of the court system ,Getting the Best out of the Court System - Information for Local Authorities and Other Social Landlords.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,possession-claims-eng.pdf,NULL,(PDF 302KB),August 2003,5,NULL
336,Jury Summons Guide,Guide to Jury Summons,Adobe Acrobat (pdf) ,Internet downloadable guidance,Jury Service,1,0,jury-summons-guide-eng.pdf,,(PDF 81KB) ,July 2014,5,0
351,N119A,Notes for Guidance to Complete Particulars of Claim. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n119a-eng.pdf,,(PDF 151KB),April 2010 ,5,0
392,N161A,Guidance Notes on Completing Form N161 - Appellant's Notice (All Appeals Except Small Claims Track Appeals).,Adobe Acrobat (pdf) ,Internet downloadable guidance,Court of Appeal Civil Division,1,0,n161a-eng.pdf,NULL,(PDF 154KB),June 2015,5,NULL
394,N161B,Important Notes for Respondent. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Court of Appeal Civil Division,1,0,n161b-eng.pdf,NULL,(PDF 25KB) ,April 2000 ,5,NULL
398,N162A,Guidance Notes on Completing the Respondent's Notice.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n162a-eng.pdf,NULL,(PDF 285KB),April 2007 ,5,NULL
416,N1FD ,Notes for Defendant - Consumer Credit Act Cases.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n001(fd)-eng.pdf,NULL,(PDF 40KB) ,June 2014,5,NULL
429,N208A,Nodiadau i'r hawlydd ar lenwi ffurflen hawlio Rhan 8. / Notes for claimant on completing a Part 8 claim form. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n208a-bil.pdf,NULL,(PDF 135KB),April 1999 ,17,NULL
431,N208A,Notes for Claimant on Completing a Part 8 Claim Form.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n208a-eng.pdf,NULL,(PDF 47KB) ,June 2014,5,NULL
432,N208C,Nodiadau i'r diffynnydd (ffurflen hawlio Rhan 8) / Notes for defendant (Part 8 claim form). ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n208c-bil.pdf,NULL,(PDF 264KB),August 2008,17,NULL
434,N208C,Notes for Defendant Part 8.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n208c-eng.pdf,,(PDF 81KB) ,June 2009,5,0
435,N208C(CC),Notes for Defendant on Replying to the Part 8 Claim Form.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Commercial Court ,1,0,n208c(cc)-eng.pdf,NULL,(PDF 197KB),October 2008,5,NULL
446,N211A,Notes for Part 20 Claimant on Completing a Part 20 Claim Form ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n211a-eng.pdf,NULL,(PDF 53KB) ,April 2013 ,5,NULL
447,N211A,Nodiadau I'r hawlydd Rhan 20 ar lenwi ffurflen hawlio Rhan 20 ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n211a-bil.pdf,NULL,(PDF 52KB) ,,17,NULL
449,N211C,Nodiadau i'r diffynnydd ar ateb y ffurflen hawlio Rhan 20. / Notes for defendant on replying to the Part 20 claim form.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n211c-bil.pdf,NULL,(PDF 156KB),January 2003,17,NULL
451,N211C,Notes for Defendant Part 20. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n211c-eng.pdf,NULL,(PDF 10KB) ,October 2002,5,NULL
452,N211C(CC),Notes for Part 20 Defendant on Replying to the Part 20 Claim Form.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Commercial Court ,1,0,n211c(cc)-eng.pdf,NULL,(PDF 160KB),April 2011 ,5,NULL
528,N270 ,Administration Orders - Notes for Guidance,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n270-eng.pdf ,NULL,(PDF 213KB),May 2006,5,NULL
541,N2A,Probate Claim - Notes for Claimant on Completing a Claim Form.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Probate ,1,0,n002a-eng.pdf,,(PDF 137KB),April 2011 ,5,71
542,N2A,Hawliad Profiant Nodiadau i'r hawlydd ar lenwi ffurflen hawlio. / Probate Claim Notes for claimant on completing a claim form.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Probate ,1,0,n002a-bil.pdf,NULL,(PDF 150KB),October 2001,17,NULL
543,N2B,Probate Claim - Notes for the Defendant. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Probate ,1,0,n002b-eng.pdf,,(PDF 16KB) ,October 2001,5,71
544,N2B,Hawliad Profiant Nodiadau i'r diffynnydd. / Probate Claim Notes for the defendant. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Probate ,1,0,n002b-bil.pdf,NULL,(PDF 102KB),October 2001,17,NULL
598,N461 Notes ,Guidance Notes on Completing the Judicial Review Claim Form.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Administrative Court,1,0,n461-notes-eng.pdf ,,(PDF 29KB) ,November 2013 ,5,175
628,N7,Notes for Defendant - Mortgaged Residential Premises ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n007-eng.pdf ,NULL,(PDF 40KB) ,September 2013,5,NULL
629,N7,Nodiadau i'r diffynnydd - eiddo preswyl ar forgais. / Notes for defendant - mortgaged residential premises.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n007-bil.pdf ,NULL,(PDF 113KB),April 2006 ,17,NULL
634,N7A,Notes for Defendant - Rented Residential Premises Claim ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n007a-eng.pdf,NULL,(PDF 100KB),April 2013 ,5,NULL
636,N7A,Nodiadau i'r diffynnydd - hawliad adeilad preswyl ar rent. / Notes for defendant - rented residential premises claim.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n007a-bil.pdf,NULL,(PDF 129KB),April 2006 ,17,NULL
637,N7B,Notes for Defendant - Forfeiture of the Lease (Residential Premises),Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n007b-eng.pdf,NULL,(PDF 40KB) ,September 2013,5,NULL
638,N7B,Nodiadau i'r diffynnydd - fforffedu'r les (adeilad preswyl). / Notes for defendant - forfeiture of the lease (residential premises).,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n007b-bil.pdf,NULL,(PDF 130KB),April 2006 ,17,NULL
641,N7D,Notes for Defendant - Demotion/Suspension Claim,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n007d-eng.pdf,,(PDF 39KB) ,September 2013,5,0
642,N7D,Nodiadau i'r diffynnydd - hawliad israddio. / Notes for defendant - demotion claim.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n007d-bil.pdf,NULL,(PDF 87KB) ,June 2004,17,NULL
644,N8A,Arbitration Claim - Notes for the Claimant. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n008a-eng.pdf,NULL,(PDF 58KB) ,April 2011 ,5,NULL
645,N8B,Arbitration Claim - Notes for the Defendant.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n008b-eng.pdf,NULL,(PDF 137KB),October 2008,5,NULL
740,PA2,How to Obtain Probate - A Guide for People Acting Without a Solicitor. ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Probate ,1,0,pa002-eng.pdf,,(PDF 215KB),August 2014,5,71
744,PA4,Directory of Probate Registries and Interview Venues ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Probate ,1,0,pa004-eng.pdf,,(PDF 160KB),September 2014,5,71
897,Pre-trial Checklist ,Pre-trial Checklist ,Microsoft Word (doc),Internet downloadable guidance,Commercial Court ,1,0,pretrial-eng.doc,NULL,(Word 20KB),April 2005 ,5,NULL
898,Progress Monitoring Information Sheet ,Progress Monitoring Information Sheet ,Microsoft Word (doc),Internet downloadable guidance,Commercial Court ,1,0,progress-monitoring-eng.doc ,NULL,(Word 20KB),April 2005 ,5,NULL
908,5222 ,Your Guide to Jury Service,Adobe Acrobat (pdf) ,Internet downloadable guidance,Jury Service,1,0,5222-eng.pdf ,,(PDF 192KB),February 2015 ,5,0
914,MC100,Make Sure You Can Pay Your Fine. (English),Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-eng.pdf,NULL,(PDF 159KB),December 2013 ,5,NULL
919,ADM15B,Notes for defendant - Admiralty limitation claim,Adobe Acrobat (pdf) ,Internet downloadable guidance,Admiralty,1,0,adm15(b)-eng.pdf,NULL,(PDF 42KB) ,February 2013 ,5,NULL
921,ADM1C,Notes for Defendant on Replying to an Admiralty Claim Form.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Admiralty,1,0,adm001(c)-eng.pdf,NULL,(PDF 37KB) ,February 2013 ,5,NULL
932,MC100,Make Sure You Can Pay Your Fine. (Croatian) ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-hrv.pdf,NULL,(PDF 504KB),December 2013 ,4,NULL
933,MC100,Make Sure You Can Pay Your Fine. (Greek) ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-gre.pdf,NULL,(PDF 513KB),December 2013 ,6,NULL
934,MC100,Make Sure You Can Pay Your Fine. (Gujarati) ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-guj.pdf,NULL,(PDF 217KB),December 2013 ,7,NULL
936,MC100,Make Sure You Can Pay Your Fine. (Hindi) ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-hin.pdf,NULL,(PDF 222KB),December 2013 ,8,NULL
937,MC100,Make Sure You Can Pay Your Fine. (Kurdish),Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-kur.pdf,NULL,(PDF 171KB),December 2013 ,9,NULL
938,MC100,Make Sure You Can Pay Your Fine. (Portuguese),Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-por.pdf,NULL,(PDF 533KB),December 2013 ,10,NULL
939,MC100,Make Sure You Can Pay Your Fine. (Punjabi),Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-pun.pdf,NULL,(PDF 205KB),December 2013 ,11,NULL
940,MC100,Make Sure You Can Pay Your Fine. (Serbian),Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-srp.pdf,NULL,(PDF 533KB),December 2013 ,12,NULL
941,MC100,Make Sure You Can Pay Your Fine. (Chinese - Simplified) ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-zho.pdf,NULL,(PDF 747KB),December 2013 ,2,NULL
942,MC100,Make Sure You Can Pay Your Fine. (Spanish),Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-spa.pdf,NULL,(PDF 529KB),December 2013 ,13,NULL
943,MC100,Make Sure You Can Pay Your Fine. (Chinese - Traditional),Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-chi.pdf,NULL,(PDF 871KB),December 2013 ,3,NULL
944,MC100,Make Sure You Can Pay Your Fine. (Turkish),Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-tur.pdf,NULL,(PDF 532KB),December 2013 ,14,NULL
945,MC100,Make Sure You Can Pay Your Fine. (Urdu),Adobe Acrobat (pdf) ,Internet downloadable guidance,Magistrates' Court,1,0,mc100-urd.pdf,NULL,(PDF 191KB),December 2013 ,15,NULL
946,EX375,European Enforcement Order.,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,ex375-eng.pdf,NULL,(PDF 150KB),April 2014 ,5,NULL
947,EX710,Can I Talk About My Case Outside Court?A Guide for Family Court Users.,Adobe Acrobat (pdf) ,Internet downloadable guidance,Family,1,0,ex710-eng.pdf,,(PDF 212KB),July 2013,5,160
948,N119A,Canllawiau ar gyfer llenwi manylion y ffurflen hawlio (adeilad preswyl ar rent) / Notes for guidance on completing particulars of claim form(rented residential premises) ,Adobe Acrobat (pdf) ,Internet downloadable guidance,County Court,1,0,n119a-bil.pdf,,(PDF 113KB),October 2005,17,174
949,A50 Notes,Application for a Placement Order (Form A50) - Notes on completing the form,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a050-notes-eng.pdf ,NULL,(PDF 131KB),April 2014 ,5,NULL
950,A51 Notes,Application for variation of a placement order (Form A51) - Notes on completing the form ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a051-notes-eng.pdf ,NULL,(PDF 105KB),April 2014 ,5,NULL
951,A52 Notes,Application for Revocation of a Placement Order (Form 52) - Notes on Completing the Form ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a052-notes-eng.pdf ,NULL,(PDF 108KB),April 2014 ,5,NULL
952,A53 Notes,Application for a contact order under section 26 of the Adoption and Children Act 2002 or an order under section 51A of the Act (Form A53) Notes on completing the form,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a053-notes-eng.pdf ,,(PDF 108KB),April 2014 ,5,0
953,A54 Notes,Application for variation or revocation of a contact order section 27(1)(b) or section 51B(1)(c) of the Adoption and Children Act 2002 (Form A54) Notes on completing the form,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a054-notes-eng.pdf ,,(PDF 115KB),April 2014 ,5,0
954,A55 Notes,Application for Permission to Change a Child's Surname - Notes on Completing the Form ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a055-notes-eng.pdf ,NULL,(PDF 108KB),April 2014 ,5,NULL
955,A56 Notes,Application for Permission to Remove a Child from the United Kingdom,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a056-notes-eng.pdf ,NULL,(PDF 111KB),April 2014 ,5,NULL
956,A57 Notes,Application for a Recovery Order (Form A57) - Notes on Completing the Forms,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a057-notes-eng.pdf ,NULL,(PDF 114KB),April 2014 ,5,NULL
957,A58 Notes,Application for an Adoption Order - Notes on Completing the Form ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a058-notes-eng.pdf ,,(PDF 134KB),November 2015 ,5,0
958,A59 Notes,Application for a Convention Adoption Order (Form A59) ? Notes on Completing the Form ,Adobe Acrobat (pdf) ,Internet downloadable guidance,Adoption,1,0,a059-notes-eng.pdf ,NULL,(PDF 132KB),April 2014 ,5,NULL
