code,title,attachment_file_name,attachment_content_type,attachment_file_size,content_date,language_id,doc_attachment_type_id,inactive,creator_id,original_url,original_id,published_date,file_format,summary
A58,"Application for an Adoption Order (Section 46 Adoption and Children Act 2002)",a58-eng.pdf,application/pdf,680284,2016-11-01,8,1,false,1,GetForm.do?court_forms_id=,1082,2017-04-12,PDF,
A58,"Cais am orchymyn mabwysiadu (Adran 46 Deddf Mabwysiadu a Phlant 2002) | Application for an adoption order (Section 46 Adoption and Children Act 2002)",a58-bil.pdf,application/pdf,498888,2016-11-01,26,1,false,1,GetForm.do?court_forms_id=,2388,2017-04-12,PDF,
A58 Nodiadau,"Cais am orchymyn mabwysiadu (Ffur en A58), nodiadau ar lenwi'r ffur en. | Application for an adoption order (Form A58). Notes on completing the form",a58-nodiadau-bil.pdf,application/pdf,212673,2016-11-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,1071,2017-04-12,PDF,
A58 Notes,"Application for an Adoption Order (Form A58). Notes on completing the form",a58-notes-eng.pdf,application/pdf,277877,2016-11-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,957,2017-04-12,PDF,
A59,"Application for a Convention Adoption Order (Section 46 Adoption and Children Act 2002)",a59-eng.pdf,application/pdf,387210,2016-11-01,8,1,false,1,GetForm.do?court_forms_id=,1083,2017-04-12,PDF,
A59,"Cais am orchymyn mabwysiadu dan y Cytundeb (Adran 46 Deddf Mabwysiadu a Phlant 2002) | Application for a Convention adoption order (Section 46 Adoption and Children Act 2002)",a59-bil.pdf,application/pdf,439346,2016-11-01,26,1,false,1,GetForm.do?court_forms_id=,1274,2017-04-12,PDF,
A59 Nodiadau,"Cais am orchymyn mabwysiadu dan y Cytundeb (Ffur en A59). Nodiadau ar lenwi'r ffur en. | Application for a Convention adoption order (Form A59). Notes on completing the form",a59-nodiadau-bil.pdf,application/pdf,178525,2016-11-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,1009,2017-04-12,PDF,
A59 Notes,"Application for a Convention Adoption Order (Form A59). Notes on completing the form",a59-notes-eng.pdf,application/pdf,266801,2016-11-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,958,2017-04-12,PDF,
A60,"Application for an Adoption Order (excluding a Convention adoption order) where the child is habitually resident outside the British islands and is brought into the United Kingdom for the purposes of adoption (Section 46 Adoption and Children Act 2002)",a60-eng.pdf,application/pdf,674771,2016-11-01,8,1,false,1,GetForm.do?court_forms_id=,1084,2017-04-12,PDF,
A60,"Cais am orchymyn mabwysiadu (ac eithrio gorchymyn mabwysiadu dan y Cytundeb) | Application for an adoption order (excluding a Convention adoption order)",a60-bil.pdf,application/pdf,444197,2016-11-01,26,1,false,1,GetForm.do?court_forms_id=,2501,2017-04-12,PDF,
A60 Nodiadau,"Cais am orchymyn mabwysiadu (ac eithrio gorchymyn mabwysiadu dan y Cytundeb) (Ffur en A60). Nodiadau ar lenwi'r ffur en. | Application for an adoption order (excluding a Convention adoption order) (Form A60). Notes on completing the form",a60-nodiadau-bil.pdf,application/pdf,186630,2016-11-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,2651,2017-04-12,PDF,
A60 Notes,"Application for an Adoption Order (excluding a Convention adoption order) where the child is habitually resident outside the British islands and is brought into the United Kingdom for the purposes of adoption (Form A60). Notes on completing the form",a60-notes-eng.pdf,application/pdf,266990,2016-11-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,959,2017-04-12,PDF,
A61,"Application for an order for parental responsibility prior to adoption abroad (Section 84 Adoption and Children Act 2002)",a61-eng.pdf,application/pdf,407640,2016-11-01,8,1,false,1,GetForm.do?court_forms_id=,906,2017-04-12,PDF,
A61,"Cais am orchymyn cyfrifoldeb rhiant cyn mabwysiadu dramor (Adran 84 Deddf Mabwysiadu a Phlant 2002) | Application for an order for parental responsibility prior to adoption abroad (Section 84 Adoption and Children Act 2002)",a61-bil.pdf,application/pdf,456686,2016-11-01,26,1,false,1,GetForm.do?court_forms_id=,1085,2017-04-12,PDF,
A61 Nodiadau,"Cais am orchymyn cyfrifoldeb rhiant cyn mabwysiadu dramor (Ffur en A61). Nodiadau ar lenwi'r ffur en. | Application for an order for parental responsibilty prior to adoption abroad (Form A61). Notes on completing the form",a61-nodiadau-bil.pdf,application/pdf,192589,2016-11-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,1070,2017-04-12,PDF,
A61 Notes,"Application for an order for parental responsibilty prior to adoption abroad (Form A61). Notes on completing the form",a61-notes-eng.pdf,application/pdf,278515,2016-11-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,960,2017-04-12,PDF,
A62,"Application for a direction under section 88(1) of the Adoption and Children Act 2002",a62-eng.pdf,application/pdf,623727,2014-11-01,8,1,false,1,GetForm.do?court_forms_id=,1086,2017-04-12,PDF,
A62,"Cais am gyfarwyddyd dan adran 88(1) Deddf Mabwysiadu a Phlant 2002. | Application for a direction under section 88(1) of the Adoption and Children Act 2002",a62-bil.pdf,application/pdf,377678,2011-04-01,26,1,false,1,GetForm.do?court_forms_id=,1275,2017-04-12,PDF,
A62 Nodiadau,"Cais am gyfarwyddyd dan adran 88(1) Deddf Mabwysiadu a Phlant 2002 (Ffurflen A62)Nodiadau ar lenwi'r ffurflen. | Application for a direction under section 88(1) of the Adoption and Children Act 2002 (Form A62) Notes on completing the form",a62-nodiadau-bil.pdf,application/pdf,98772,2005-12-01,26,3,false,1,GetLeaflet.do?court_leaflets_id=,981,2017-04-12,PDF,
A62 Notes,"Application for a Direction under Section 88(1) of the Adoption and Children Act 2002 (Form A62) ? Notes on Completing the Form",a62-notes-eng.pdf,application/pdf,112556,2014-04-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,961,2017-04-12,PDF,
A63,"Application for an order to annul a Convention adoption or Convention adoption order or for an overseas adoption or determination under section 91 to cease to be valid. Section 89 Adoption and Children Act 2002",a63-eng.pdf,application/pdf,354413,2014-11-01,8,1,false,1,GetForm.do?court_forms_id=,1087,2017-04-12,PDF,
A63,"Cais am orchymyn i ddirymu mabwysiad dan y Cytundeb neu orchymyn mabwysiadu dan y Cytundeb neu i fabwysiad tramor neu benderfyniad dan adran 91 beidio a bod yn ddilys Adran 89 Deddf Mabwysiadu a Phlant 2002. | Application for an order to annul a Convention adoption or Convention adoption order or for an overseas adoption or determination under section 91 to cease to be valid Section 89 Adoption and Children Act 2002",a63-bil.pdf,application/pdf,271637,2011-04-01,26,1,false,1,GetForm.do?court_forms_id=,2186,2017-04-12,PDF,
A63 Nodiadau,"Cais am orchymyn i ddirymu mabwysiad dan y Cytundeb neu orchymyn mabwysiadu dan y Cytundeb neu i fabwysiad tramor neu benderfyniad dan adran 91 beidio ‚ bod yn ddilys (Ffurflen A63). | Application for an order to annul a Convention adoption or Convention adoption order or for an overseas adoption or determination under section 91 to cease to be valid (Form A63)",a63-nodiadau-bil.pdf,application/pdf,106172,2005-12-01,26,2,false,1,GetLeaflet.do?court_leaflets_id=,986,2017-04-12,PDF,
A63 Notes,"Application for an Order to Annul a Convention Adoption or Convention Adoption Order or for an Overseas Adoption or Determination Under Section 91 to Cease to be Valid (Form A63) - Notes on Completing the Form",a63-notes-eng.pdf,application/pdf,105923,2014-04-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,962,2017-04-12,PDF,
A64,"Application to receive information from court records Section 60(4) Adoption and Children Act 2002",a64-eng.pdf,application/pdf,143522,2014-11-01,8,1,false,1,GetForm.do?court_forms_id=,1088,2017-04-12,PDF,
A64,"Cais i dderbyn gwybodaeth o gofnodion y llys Adran 60(4) Deddf Mabwysiadu a Phlant 2002. | Application to receive information from court records Section 60(4) Adoption and Children Act 2002",a64-bil.pdf,application/pdf,157036,2005-12-01,26,1,false,1,GetForm.do?court_forms_id=,1141,2017-04-12,PDF,
A64A,"A64A - Application to receive information from court records about a parental order",a64a-eng.pdf,application/pdf,56560,2014-11-01,8,1,false,1,GetForm.do?court_forms_id=,2395,2017-04-12,PDF,
A64A,"Cais i dderbyn gwybodaeth o gofnodion y llys am orchymyn rhieni. | Application to receive information from court records about a parental order",a64a-bil.pdf,application/pdf,77725,2010-04-01,26,1,false,1,GetForm.do?court_forms_id=,2810,2017-04-12,PDF,
A65,"Confidential information",a65-eng.pdf,application/pdf,738978,2005-12-01,8,1,false,1,GetForm.do?court_forms_id=,1089,2017-04-12,PDF,
A65,"Gwybodaeth gyfrinachol. | Confidential information",a65-bil.pdf,application/pdf,177564,2005-12-01,26,1,false,1,GetForm.do?court_forms_id=,1142,2017-04-12,PDF,
A100,"Consent to the placement of my child for adoption with any prospective adopters chosen by the Adoption Agency. Section 19 of the Adoption and Children Act 2002",a100-eng.pdf,application/pdf,119981,2013-04-01,8,1,false,1,GetForm.do?court_forms_id=,2620,2017-04-12,PDF,
A101,"Consent to the placement of my child for adoption with identified prospective adopters. Section 19 of the Adoption and Children Act 2002",a101-eng.pdf,application/pdf,115136,2013-04-01,8,1,false,1,GetForm.do?court_forms_id=,2621,2017-04-12,PDF,
A101A,"Agreement to the making of a parental order in respect of my child. Section 54 of the Human Fertilisation and Embryology Act 2008",a101a-eng.doc,application/msword,32256,2011-04-01,8,1,false,1,GetForm.do?court_forms_id=,2396,2017-04-12,DOC,
A101A,"Cytundeb i wneud gorchymyn rhieni yng nghyswllt fy mhlentyn. | Agreement to the making of a parental order in respect of my child",a101a-bil.doc,application/msword,73216,2010-04-01,26,1,false,1,GetForm.do?court_forms_id=,2808,2017-04-12,DOC,
A102,"Consent to the placement of my child for adoption with identified prospective adopter(s) and, if the placement breaks down, with any prospective adopter(s) chosen by the adoption agency. Section 19 of the Adoption and Children Act 2002",a102-eng.pdf,application/pdf,115970,2013-04-01,8,1,false,1,GetForm.do?court_forms_id=,2622,2017-04-12,PDF,
A103,"Advance Consent to Adoption. Section 20 of the Adoption and Children Act 2002",a103-eng.pdf,application/pdf,96748,2013-04-01,8,1,false,1,GetForm.do?court_forms_id=,2623,2017-04-12,PDF,
A104,"Consent to Adoption. The Adoption and Children Act 2002",a104-eng.pdf,application/pdf,129325,2013-04-01,8,1,false,1,GetForm.do?court_forms_id=,2624,2017-04-12,PDF,
A105,"Consent to the making of an Order under Section 84 of the. Adoption and Children Act 2002",a105-eng.pdf,application/pdf,123164,2013-04-01,8,1,false,1,GetForm.do?court_forms_id=,2625,2017-04-12,PDF,
A106,"Withdrawal of Consent. Sections 19 and 20 of the Adoption and Children Act 2002",a106-eng.pdf,application/pdf,156199,2011-04-01,8,1,false,1,GetForm.do?court_forms_id=,2626,2017-04-12,PDF,
A107,"Consent by the child's parent to adoption by their partner. The Adoption and Children Act 2002",a107-eng.pdf,application/pdf,79425,2013-04-01,8,1,false,1,GetForm.do?court_forms_id=,2500,2017-04-12,PDF,
AC001 (Birmingham),"Request for an Adjournment (Birmingham)",ac001-(birmingham)-eng.pdf,application/pdf,13047,2008-09-01,8,1,false,1,GetForm.do?court_forms_id=,2382,2017-04-12,PDF,
AC001 (Cardiff),"Request for an Adjournment (Cardiff)",ac001-(cardiff)-eng.pdf,application/pdf,12911,2008-09-01,8,1,false,1,GetForm.do?court_forms_id=,2383,2017-04-12,PDF,
AC001 (Leeds),"Request for an Adjournment (Leeds)",ac001-(leeds)-eng.pdf,application/pdf,13590,2014-04-01,8,1,false,1,GetForm.do?court_forms_id=,2384,2017-04-12,PDF,
AC001 (London),"Request for an Adjournment (London)",ac001-(london)-eng.pdf,application/pdf,12872,2008-09-01,8,1,false,1,GetForm.do?court_forms_id=,2385,2017-04-12,PDF,
AC001 (Manchester),"Request for an Adjournment (Manchester)",ac001-(manchester)-eng.pdf,application/pdf,13039,2008-09-01,8,1,false,1,GetForm.do?court_forms_id=,2386,2017-04-12,PDF,
AC010,"Notice of appeal to the High Court (modification/renewal of Non-Derogating Control Orders)",ac010-eng.pdf,application/pdf,178892,2016-08-01,8,1,false,1,GetForm.do?court_forms_id=,2540,2017-04-12,PDF,
AC011,"Claim form (under Section 11)",ac011-eng.pdf,application/pdf,165934,2016-08-01,8,1,false,1,GetForm.do?court_forms_id=,2544,2017-04-12,PDF,
AC013,"Guidance as to how the parties should assist the Court when applications for costs are made following settlement of claims for judicial review (April 2016)",ac013-eng.pdf,application/pdf,150515,2016-09-01,8,4,false,1,GetLeaflet.do?court_leaflets_id=,2848,2017-04-12,PDF,
AC014,"Skeleton argument template",ac014-eng.doc,application/msword,38400,2016-08-01,8,1,false,1,GetForm.do?court_forms_id=,2556,2017-04-12,DOC,
AC015,"Regionalisation guidance",ac015-eng.pdf,application/pdf,107806,2016-08-01,8,4,false,1,GetLeaflet.do?court_leaflets_id=,2850,2017-04-12,PDF,
AC016,"Appeals under Section 289 of the Town and Country Planning Act 1990. Notes for guidance for court users",ac016-eng.pdf,application/pdf,88829,2016-08-01,8,4,false,1,GetLeaflet.do?court_leaflets_id=,2854,2017-04-12,PDF,
AC017,"Claims for planning statutory review. Notes for guidance for court users",ac017-eng.pdf,application/pdf,116718,2016-08-01,8,4,false,1,GetLeaflet.do?court_leaflets_id=,2858,2017-04-12,PDF,
ADM1,"Claim Form (Admiralty claim in rem)",adm1-eng.pdf,application/pdf,36716,2013-02-01,8,1,false,1,GetForm.do?court_forms_id=,1011,2017-04-12,PDF,
ADM1A,"Claim Form (Admiralty claim)",adm1a-eng.pdf,application/pdf,35796,2013-02-01,8,1,false,1,GetForm.do?court_forms_id=,1026,2017-04-12,PDF,
ADM1C,"Notes for Defendant on Replying to an Admiralty Claim Form",adm1c-eng.pdf,application/pdf,37856,2013-02-01,8,3,false,1,GetLeaflet.do?court_leaflets_id=,921,2017-04-12,PDF,
ADM1C,"Nodiadau I'r diffynnydd ar ymateb i ffurflen hawlio'r Morlys / Notes for defendant on replying to an admiralty claim form",adm1c-cym.pdf,application/pdf,201506,2008-10-01,25,1,false,1,W_GetForm.do?court_forms_id=,1042,2017-04-12,PDF,
ADM2,"Acknowledgment of Service (Admiralty claim)",adm2-eng.pdf,application/pdf,346285,2006-04-01,8,1,false,1,GetForm.do?court_forms_id=,1027,2017-04-12,PDF,
ADM2,"Cydnabyddiad Cyflwyno (hawliad Morlys)",adm2-cym.pdf,application/pdf,168634,2006-04-01,25,1,false,1,W_GetForm.do?court_forms_id=,1154,2017-04-12,PDF,
ADM3,"Collision statement of case",adm3-eng.pdf,application/pdf,78678,2002-03-01,8,1,false,1,GetForm.do?court_forms_id=,1030,2017-04-12,PDF,
ADM4,"Application and undertaking for arrest and custody",adm4-eng.pdf,application/pdf,79032,2002-03-01,8,1,false,1,GetForm.do?court_forms_id=,1031,2017-04-12,PDF,
ADM5,"Declaration in support of applicationfor warrant of arrest",adm5-eng.pdf,application/pdf,89824,2002-03-01,8,1,false,1,GetForm.do?court_forms_id=,1032,2017-04-12,PDF,
